FMID,Credit,WIC,WICcash,SFMNP,SNAP
1019241,Y,,Y,Y,Y
1009233,Y,,,,
1011375,Y,,,Y,Y
1005322,,,,,
1007666,,,,,
1011402,Y,,,,Y
1005892,,,,,
1012090,Y,,Y,Y,Y
1019316,Y,,,,Y
1007475,,,,,
1011043,Y,Y,,Y,Y
1010100,Y,Y,Y,,Y
1009303,Y,,,,
1004249,Y,,,,
1008964,Y,Y,Y,,
1012716,Y,,Y,,
1008967,Y,Y,Y,,
1008969,Y,Y,Y,Y,Y
1006194,,Y,,Y,
1002006,,,,,
1004904,,,,,
1012559,Y,Y,,Y,
1019423,Y,Y,Y,Y,Y
1007007,,,,,
1004868,,,,,
1004727,Y,Y,Y,Y,Y
1004730,Y,Y,Y,Y,Y
1002567,Y,,,Y,
1005485,,Y,,Y,
1004214,,,,,
1001990,,,,,
1001362,Y,,,,
1010322,Y,,,,
1010321,Y,,,,
1007604,,,,,
1008380,Y,,,,Y
1005481,Y,,,,
1002617,Y,Y,Y,Y,Y
1007741,,,,,
1010702,Y,,,,
1009640,Y,,,,Y
1004248,,Y,Y,Y,Y
1004299,Y,Y,,Y,
1004927,Y,,,,
1002592,,,,,
1004862,Y,,,Y,
1003449,,,,,
1001342,,,,,
1002026,Y,,,,
1005821,Y,,,,Y
1002113,Y,,,,
1018262,Y,Y,,Y,Y
1018263,Y,,,,
1002174,Y,,,Y,
1010783,Y,,,,
1001554,,,,,
1003599,,,,,
1002788,,,,Y,
1003689,,,Y,Y,Y
1000532,,,,,
1001323,,,,,
1007348,Y,Y,Y,Y,
1018459,Y,Y,,,
1009017,Y,Y,,,
1008263,Y,Y,,Y,Y
1003561,Y,,,,
1002666,Y,Y,,Y,Y
1002669,Y,Y,,Y,Y
1003938,,,,,
1004192,Y,Y,Y,Y,
1004193,Y,Y,Y,Y,
1004194,Y,Y,Y,Y,
1004482,,,,,
1010782,Y,,,,
1018257,Y,Y,Y,Y,
1010081,Y,,Y,Y,Y
1001631,,,,,
1004898,,,,,
1007349,Y,Y,Y,Y,
1006887,,,,,
1012479,Y,Y,Y,,Y
1001753,,,,,
1001638,,,,,
1002969,Y,Y,Y,Y,Y
1010107,Y,,,,
1018781,Y,Y,,Y,
1002747,,,,,
1006890,,,,,
1005216,,Y,,Y,
1004233,Y,Y,Y,Y,Y
1000122,,Y,,Y,Y
1006182,,,,,
1006675,,,,,
1002674,Y,,,Y,
1018502,Y,Y,,Y,Y
1003776,Y,Y,,Y,Y
1009861,Y,,Y,Y,Y
1006428,Y,Y,,Y,
1006429,Y,Y,,Y,
1009653,Y,Y,,Y,
1007356,Y,Y,Y,Y,
1006978,Y,,,,
1006485,,,,,
1011170,Y,,,,Y
1009034,Y,,Y,Y,
1009411,Y,,,,
1012183,Y,Y,,Y,Y
1001214,Y,,,,
1002058,,Y,,Y,
1002837,,Y,Y,Y,
1006790,,,,,
1007034,,,,,
1003627,Y,Y,,Y,Y
1011690,Y,,,,
1012548,Y,Y,,,Y
1008796,Y,Y,Y,Y,
1012038,Y,Y,,,Y
1018360,Y,,,,Y
1012636,Y,,,,Y
1009037,,Y,,,
1001397,Y,,,,
1002869,,Y,,Y,
1006495,,,,,
1008518,Y,Y,Y,Y,Y
1001172,,,,,
1017959,Y,Y,,Y,Y
1009677,Y,,,,
1005102,,Y,Y,Y,
1005101,,Y,Y,Y,
1007855,,,,,
1010438,Y,Y,,Y,Y
1005325,Y,Y,,,Y
1005326,Y,Y,,Y,Y
1018068,Y,,,,Y
1006963,,,,,
1005285,Y,,,,Y
1006275,,,,,
1011930,Y,,,,Y
1004444,Y,,,,Y
1006925,Y,Y,,,
1018446,Y,Y,Y,Y,Y
1018443,Y,Y,Y,Y,Y
1000314,Y,Y,,,
1010194,Y,Y,,Y,
1003527,,,,,
1018359,Y,,,,
1008481,Y,,,,
1004765,,,,,
1003526,,,,,
1000437,,,,,
1004165,Y,Y,,Y,Y
1004827,,,,,
1016796,Y,,,Y,
1009280,Y,,,,
1004700,Y,,,,
1002791,,,,,
1018579,Y,Y,Y,Y,
1018375,Y,,,,
1006857,Y,Y,,,Y
1003292,Y,,Y,,
1005004,Y,Y,Y,Y,Y
1011167,Y,Y,,,Y
1012654,Y,Y,Y,Y,Y
1011204,Y,,,,
1003478,,,,,
1001447,,,,,
1012670,Y,Y,,Y,Y
1002284,,,,,
1011230,Y,Y,Y,Y,
1004804,Y,Y,,Y,Y
1017923,Y,,,,
1017922,Y,,,,
1002693,,,Y,Y,
1007367,Y,,,,
1008450,Y,Y,,,
1006651,Y,Y,,Y,Y
1009038,Y,,,,
1010092,Y,,,,
1012028,Y,Y,Y,Y,Y
1019417,Y,,,Y,
1010106,Y,Y,,Y,Y
1006968,,,,,
1011610,Y,,,,Y
1006696,,,,,
